,,,,,,,,,,,extracted automatically,,,,,,,
Study ID,Pub. Year,Title,Authors,Publication Type,Publisher,Citations,Open Access,oa_url,pmid,DOI,Medical Condition,Condition (Normalised),Clinical Domain,XAI Method(s),ML Model(s),Data Modality,Clinical Task,Confidence
1,2024,"A 3D and Explainable Artificial Intelligence Model for Evaluation of Chronic Otitis Media Based on Temporal Bone Computed Tomography: Model Development, Validation, and Clinical Application",Binjun Chen; Yike Li; Yu Sun; Haojie Sun; Yanmei Wang; Jihan Lyu; Jiajie Guo; Shunxing Bao; Yushu Cheng; Xun Niu; Lian Yang; Jianghong Xu; Juanmei Yang; Yibo Huang; Fanglu Chi; Bo Liang; Dongdong Ren,"Journal Article||Validation Study||Research Support, Non-U.S. Gov't",JMIR Publications,19,TRUE,https://s3.ca-central-1.amazonaws.com/assets.jmir.org/assets/preprints/preprint-51706-accepted.pdf,39116439,10.2196/51706,chronic otitis media,Hearing disorders,Musculoskeletal & Rheumatology,Grad-CAM,3D CNN; 2D CNN,Medical imaging,Prognosis/outcome prediction,high
3,2023,"A Clinical Decision Support System for Edge/Cloud ICU Readmission Model Based on Particle Swarm Optimization, Ensemble Machine Learning, and Explainable Artificial Intelligence",Maali Alabdulhafith; Hager Saleh; Hela Elmannai; Zainab H. Ali; Shaker El–Sappagh; Jong Wan Hu; Nora El-Rashidy,Article,Institute of Electrical and Electronics Engineers,23,TRUE,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10241995.pdf,,10.1109/ACCESS.2023.3312343,ICU readmission,ICU readmission,Critical Care & Surgery,local explanations; global explanations,Stacking Ensemble; Genetic Algorithm; PSO; traditional ML models (unspecified); ensemble learning (unspecified),Tabular/EHR,Survival/mortality prediction,high
11,2025,A comprehensive explainable AI approach for enhancing transparency and interpretability in stroke prediction,Marwa El-Geneedy; Hossam El-Din Moustafa; Hatem Khater; Seham Abd-Elsamee; Samah A. Gamel,Journal Article,Nature Portfolio,12,TRUE,https://www.nature.com/articles/s41598-025-11263-9.pdf,40681594,10.1038/s41598-025-11263-9,stroke,Stroke,Neurology,SHAP; ELI5; LIME,multiple ML classifiers (unspecified),Tabular/EHR,Treatment response prediction,high
13,2023,A cross-sectional study of explainable machine learning in Alzheimer's disease: diagnostic classification using MR radiomic features,Stephanos Leandrou; Demetris Lamnisos; Haralabos Bougias; Nikolaos Stogiannos; Eleni Georgiadou; K. G. Achilleos; Constantinos S. Pattichis; Alzheimer’s Disease Neuroimaging Initiative,Journal Article,Frontiers Media,37,TRUE,https://www.frontiersin.org/articles/10.3389/fnagi.2023.1149871/pdf,37358951,10.3389/fnagi.2023.1149871,Alzheimer's disease,Alzheimer's disease,Neurology,SHAP,XGBoost,Medical imaging,Prognosis/outcome prediction,high
16,2025,A Data-Driven Intelligent Methodology for Developing Explainable Diagnostic Model for Febrile Diseases,Constance Amannah; Kingsley Attai; Faith‐Michael Uzoka,Article,Multidisciplinary Digital Publishing Institute,7,TRUE,https://www.mdpi.com/1999-4893/18/4/190/pdf?version=1743058435,,10.3390/a18040190,febrile infectious diseases,Infectious disease,Respiratory & Infectious Disease,LIME; LLM-based explanations,Random Forest; XGBoost; Multi-Layer Perceptron,Text/NLP,Survival/mortality prediction,medium
17,2023,A Decision Support System for Diagnosis of COVID-19 from Non-COVID-19 Influenza-like Illness Using Explainable Artificial Intelligence,Krishnaraj Chadaga; Srikanth Prabhu; Vivekananda Bhat K; Niranjana Sampathila; Shashikiran Umakanth; Rajagopala Chadaga,Journal Article,Multidisciplinary Digital Publishing Institute,44,TRUE,https://www.mdpi.com/2306-5354/10/4/439/pdf?version=1680254449,37106626,10.3390/bioengineering10040439,COVID-19,COVID-19,Respiratory & Infectious Disease,SHAP; ELI5; LIME; QLattice,Stacking Ensemble; Deep Neural Network; 1D-CNN,Tabular/EHR,Prognosis/outcome prediction,high
18,2023,A decision support system for osteoporosis risk prediction using machine learning and explainable artificial intelligence,Varada Vivek Khanna; Krishnaraj Chadaga; Niranjana Sampathila; Rajagopala Chadaga; Srikanth Prabhu; K. S. Swathi; Aditya S. Jagdale; Devadas Bhat,Journal Article,Elsevier BV,52,TRUE,http://www.cell.com/article/S2405844023096640/pdf,38144333,10.1016/j.heliyon.2023.e22456,osteoporosis,Osteoporosis,Musculoskeletal & Rheumatology,SHAP; LIME; ELI5; QLattice; feature importance,Stacking Ensemble; Forward Feature Selection,Tabular/EHR,Prognosis/outcome prediction,high
19,2023,A Deep Diagnostic Framework Using Explainable Artificial Intelligence and Clustering,Håvard Thunold; Michael A. Riegler; Anis Yazidi; Hugo L. Hammer,Journal Article,Multidisciplinary Digital Publishing Institute,5,TRUE,https://www.mdpi.com/2075-4418/13/22/3413/pdf?version=1699527131,37998548,10.3390/diagnostics13223413,gastrointestinal polyps,Gastrointestinal disease,Other,explanation-weighted clustering; XAI visualisation,Deep Learning (unspecified),Omics,Biomarker discovery,medium
22,2023,A Distinctive Explainable Machine Learning Framework for Detection of Polycystic Ovary Syndrome,Varada Vivek Khanna; Krishnaraj Chadaga; Niranjana Sampathila; Srikanth Prabhu; Venkatesh Bhandage; Govardhan Hegde,Article,Multidisciplinary Digital Publishing Institute,119,TRUE,https://www.mdpi.com/2571-5577/6/2/32/pdf?version=1677144843,,10.3390/asi6020032,polycystic ovary syndrome,Polycystic ovary syndrome,"Maternal, Reproductive & Child Health",SHAP; LIME; ELI5; QLattice; feature importance,Random Forest; Stacking Ensemble; ML classifiers (unspecified); Deep Learning (unspecified),Tabular/EHR,Risk prediction/screening,high
23,2023,A Fast and Minimal System to Identify Depression Using Smartphones: Explainable Machine Learning-Based Approach,Md. Sabbir Ahmed; Nova Ahmed,Journal Article,,19,TRUE,https://formative.jmir.org/2023/1/e28848/PDF,37561568,10.2196/28848,depression,Depression,Psychiatry & Mental Health,SHAP,Light Gradient Boosting Machine; Stacking Ensemble; linear models; tree-based models; neural network-based models,Tabular/EHR,Risk prediction/screening,high
25,2025,A Framework for Integrating Deep Learning and Symbolic AI Towards an Explainable Hybrid Model for the Detection of COVID-19 Using Computerized Tomography Scans,Vengai Musanga; Serestina Viriri; Colin Chibaya,Article,Multidisciplinary Digital Publishing Institute,3,TRUE,https://www.mdpi.com/2078-2489/16/3/208/pdf?version=1741343571,,10.3390/info16030208,COVID-19,COVID-19,Respiratory & Infectious Disease,symbolic reasoning,Deep Learning (unspecified); attention-based encoder; adaptive deformable module,Tabular/EHR,Diagnosis/detection/classification,high
26,2024,A Genetic algorithm aided hyper parameter optimization based ensemble model for respiratory disease prediction with Explainable AI,Balraj Preet Kaur; Harpreet Singh; Rahul Hans; Sanjeev Kumar Sharma; Chetna Sharma; Md. Mehedi Hassan,Journal Article,Public Library of Science,12,TRUE,https://doi.org/10.1371/journal.pone.0308015,39621641,10.1371/journal.pone.0308015,COVID-19,COVID-19,Respiratory & Infectious Disease,SHAP,AdaBoost; Stacking Ensemble; Genetic Algorithm; Binary Grey Wolf Optimisation,Tabular/EHR,Treatment response prediction,high
27,2023,A gradient mapping guided explainable deep neural network for extracapsular extension identification in 3D head and neck cancer computed tomography images,Yibin Wang; Abdur Rahman; William N Duggar; Toms Vengaloor Thomas; Paul Roberts; Srinivasan Vijayakumar; Zhicheng Jiao; Linkan Bian; Haifeng Wang,Article,Wiley,13,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mp.16680,,10.1002/mp.16680,head and neck squamous cell carcinoma,Head and neck cancer,Oncology,Grad-CAM,Deep Learning CNN (unspecified),Medical imaging,Survival/mortality prediction,high
